N°	VARIABLE INICIAL	VARIABLE FINAL	TIPO DE DATO	PK	DESCRIPCION	ESTADO/RAZON_AUDITORIA
267	monto_trx_debajo_10k_ing	imp_trx_debajo10k_ing_12m	decimal(38,6)		Monto total de transacciones de ingreso que no superan los 10 000 dentro de los últimos 12 meses.	SIN-EVID
268	cant_trx_debajo_10k_egr	cnt_trx_debajo10k_egr_12m	int		Cantidad de transacciones de egresos que no superan los 10 000 soles dentro de los últimos 12 meses.	SIN-EVID
269	monto_trx_debajo_10k_egr	imp_trx_debajo10k_egr_12m	decimal(38,6)		Monto de transacciones de egreso que no superan los 10 000 dentro de los últimos 12 meses.	SIN-EVID
270	cp_cant_trx_ing_desv	cnt_cp_trx_ing_desv	int		Cantidad de operaciones de ingreso de las contraparte que esten en proceso de desvinculación.	SIN-EVID
271	cp_monto_total_ing_desv	mto_cp_tot_ing_desv	decimal(38,6)		Monto total de abonos de las contraparte que están en proceso de desvinculación.	SIN-EVID
272	cp_cant_trx_egr_desv	cnt_cp_trx_egr_desv	int		Cantidad de operaciones de egreso de la contraparte que están en proceso de desvinculación.	SIN-EVID
273	cp_monto_total_egr_desv	mto_cp_tot_egr_desv	decimal(38,6)		Monto total de egreso de la contraparte que están en proceso de desvinculación.	SIN-EVID
274	cp_cant_trx_ing_ros	cnt_cp_trx_ing_ros	int		Cantidad de operaciones de ingreso de la contraparte que han sido reportadas en un ROS.	CORR-00
275	cp_monto_total_ing_ros	mto_cp_tot_ing_ros	decimal(38,6)		Monto total de ingreso de la contraparte que han sido reportadas en un ROS.	SIN-EVID
276	cp_cant_trx_egr_ros	cnt_cp_trx_egr_ros	int		Cantidad de transacciones de egreso de la contraparte incluidas en un ROS.	CORR-00
277	cp_monto_total_egr_ros	mto_cp_tot_egr_ros	decimal(38,6)		Monto total de las transacciones de egreso de la contraparte que han sido reportadas en un ROS	SIN-EVID
278	flag_variacion_abono_monto_total_5m_1m	flg_vrcn_abonos_5m_1m	string		Si el monto total abonos del último mes es mayor al monto promedio total abonos de los últimos 5 meses coloco 1, caso contrario 0	MODELO(#26;0.80%)
279	flag_variacion_efect_cargos_monto_5m_1m	flg_vrcn_efe_cargos_5m_1m	string		Si el monto total cargos en efectivo del último mes es mayor al monto promedio total cargos en efectivo de los últimos 5 meses coloco 1, caso contrario 0	CORR-02
280	antiguedad	num_antiguedad	int		Años de relación comercial con el cliente	MODELO(#6;5.58%)
281	dif_monto_abonos_cargos_efectivo_6m	mto_dif_abn_crgsefe_6m	decimal(38,6)		Diferencia entre el monto acumulado de abonos en efectivo y el monto acumulado de cargos en efectivo en los últimos 6 meses.	SIN-EVID
282	dif_q_abonos_cargos_efectivo_6m	cnt_dif_abn_crgsefe_6m	int		Diferencia entre cantidad acumulada de abonos en efectivos y la cantidad acumulada de cargos en efectivo en los últimos 6 meses	CORR-00
283	subsegmento	desc_subsegmento	string		Clasificación del cliente dentro de un nivel más específico del segmento(segmento comercial)	UNICO
284	flg_alerta	flg_alerta	string		Indicador que señala si el cliente ha sido identificado con alguna alerta según reglas de riesgo	TARGET
285	fecha_ejecucion	ts_carga	timestamp		Fecha de carga del proceso	UNICO
286	p_codmes	p_codmes	string		Partición de la tabla (YYYYMM)	ID
299	ingresos_vs_facturacion	rat_ing_tot_x_factura_6m	string		Esta variable mide la relación entre los ingresos totales (abonos) en los últimos 6 meses y la facturación reportada. Es un indicador de coherencia económica, ya que compara los ingresos operativos con la facturación declarada.	SQL-01
300	pasivo_vs_ingresos	rat_pastot_x_ingtot_6m	string		 Esta variable calcula la relación entre el pasivo total en soles y los ingresos totales (abonos) en los últimos 6 meses. Es un indicador de la capacidad de la empresa para cubrir sus pasivos con los ingresos generados.	MODELO(#3;8.42%)
301	ratio_abonos_1m_vs_6m	rat_abonos_1m_vs_6m	string		Este ratio mide la aceleración o desaceleración de los ingresos (abonos) en el último mes en comparación con el promedio mensual de los últimos 6 meses. Es útil para identificar cambios recientes en el comportamiento financiero.	SQL-01
302	alertas_por_antiguedad	alertas_por_antiguedad	string		 Esta variable calcula el promedio de alertas históricas por año de antigüedad de la empresa. Es un indicador de la frecuencia de alertas en relación con la edad de la empresa.	SQL-01
303	ratio_cargos_1m_vs_6m	rat_cargos_1m_vs_6m	string		Este ratio mide la aceleración o desaceleración de los egresos (cargos) en el último mes en comparación con el promedio mensual de los últimos 6 meses. Es útil para identificar cambios recientes en el comportamiento de egresos.	MODELO(#8;5.04%)
304	ratio_ingresos_exterior	rat_ing_ext_x_ing_tot_12m	string		Esta variable mide la proporción de ingresos provenientes del exterior en relación con los ingresos totales (abonos) en los últimos 12 meses. Es un indicador de la dependencia de la empresa en ingresos internacionales.	MODELO(#18;1.82%)
305	ros_por_trx_3m	rat_cntros_x_cnttrxegr_3m	string		Esta variable calcula la relación entre la cantidad de reportes de operaciones sospechosas (ROS) históricos y el número total de transacciones de egresos en los últimos 3 meses. Es un indicador de riesgo asociado a las operaciones recientes.	MODELO(#15;2.46%)
306		avg_cp_men_ing_12m			Promedio mensual de ingresos provenientes de suscontrapartes en los últimos 12 meses.	MODELO(fila duplicada de #77)
307	ratio_egresos_exterior	rat_egr_ext_x_egr_tot_12m			Esta variable mide la proporción de egresos provenientes del exterior en relación con los egresos totales en los últimos 12 meses. Es un indicador de la dependencia de la empresa en egresos internacionales.	MODELO*(#22;1.20%)

=================================================================================
LEYENDA - COLUMNA "ESTADO/RAZON_AUDITORIA"
=================================================================================
Metodologia: revision de los notebooks 0.limpieza_datos.ipynb, 01.genera_base_train.ipynb
y 02.bivariados+EDA_train+seleccion_variables.ipynb del modelo Minorista Regulado.
La ultima etapa de seleccion de variables (02) uso un modelo LightGBM y quedo con
32 variables finales que acumulan el 99% de la importancia total.

MODELO(#rank;importancia%)
  -> La variable SI ENTRO AL MODELO FINAL. Es una de las 32 variables seleccionadas
     en 02.bivariados+EDA_train+seleccion_variables.ipynb tras el filtro de importancia
     LightGBM (>=99% acumulado). Se indica el puesto (#rank) y el % de importancia.

CORR-00
  -> DESCARTADA por alta correlacion (Pearson y/o Spearman, umbral >=0.9) con otra
     variable de una ventana temporal distinta de la misma familia (p.ej. el monto a
     3 meses vs. 6/9/12 meses). Hallazgo documentado en 0.limpieza_datos.ipynb.

CORR-02
  -> DESCARTADA en 02.bivariados+EDA_train+seleccion_variables.ipynb por alta
     correlacion (>0.70) con otra variable que si quedo en el modelo final.

UNICO
  -> DESCARTADA por ser una variable constante (un solo valor / varianza cero) en
     la base analizada. Hallazgo documentado en 0.limpieza_datos.ipynb.

ID
  -> NO ES FEATURE: variable identificadora del cliente, de control de proceso o de
     particion de la tabla (ej. documento, codigo unico, periodo). Se excluye
     explicitamente del set de variables candidatas en los notebooks revisados.

TARGET
  -> NO ES FEATURE: variable utilizada para construir la variable objetivo (target)
     del modelo, no se evalua como predictor.

SQL-01
  -> La variable SI se incluyo como candidata en la consulta SQL de
     01.genera_base_train.ipynb (o fue derivada/calculada en ese notebook), pero NO
     fue parte de las 32 variables finales seleccionadas en 02 (quedo fuera por
     correlacion o por no superar el umbral de importancia LightGBM).

SIN-EVID
  -> SIN EVIDENCIA: no se encontro referencia explicita a esta variable en los tres
     notebooks revisados (0, 01, 02). No hay confirmacion de que haya sido evaluada
     o descartada en esta iteracion del modelo; se recomienda confirmar con el
     equipo de modelamiento si fue analizada en otra instancia (p.ej. versiones
     anteriores del pipeline, notebooks de inferencia, u otros entregables).

(*) Nota de hallazgo: se detecto una posible inconsistencia de nomenclatura entre
el codigo y esta ficha documental en las filas 240, 242 y 307: el codigo usa
'cnt_trx_sinenv_alext_12m', 'cnt_trx_al_ext_1000_12m' y 'ratio_egresos_exterior'
mientras que la ficha documenta 'cnt_mes_sinenv_alext_12m', 'cnt_mes_al_ext_1000_12m'
y 'rat_egr_ext_x_egr_tot_12m' respectivamente. Se recomienda validar con el equipo
de modelamiento si son la misma variable o variables distintas.

Hallazgos adicionales para reportar a auditoria:
- 3 variables usadas en el modelo final NO figuran en esta ficha de 305/307
  variables: 'share_cp_egresos', 'share_cp_ingresos' y 'cnt_trx_sinenv_alext_12m'
  (creadas en 01.genera_base_train.ipynb). Se recomienda documentarlas formalmente.
- La fila 306 aparece duplicada respecto a la fila 77 (misma variable final
  'avg_cp_men_ing_12m'); se recomienda corregir la ficha maestra.
- Existen inconsistencias entre 0.limpieza_datos.ipynb (pipeline/iteracion anterior,
  con nombres de variable INICIAL) y 01/02 (pipeline actual, con nombres FINAL) para
  variables como 'flag_alerta_12m' y 'flag_ros_12m': en 0 se reportan como constantes
  (valor unico) mientras que en 01/02 se usan como candidatas/variable del modelo.
  Esto sugiere que 0.limpieza_datos.ipynb corresponde a una base o periodo distinto
  al usado en 01/02, o a una iteracion descontinuada del pipeline.

