N°	VARIABLE INICIAL	VARIABLE FINAL	TIPO DE DATO	PK	DESCRIPCION	ESTADO/RAZON_AUDITORIA
145	trx_q_abonos_promedio_9m_total	cnt_trx_abonospromtot_9m	decimal(38,6)		Promedio mensual de cantidad de abonos totales en los últimos 9 meses.	CORR-00
146	trx_q_abonos_promedio_12m_total	cnt_trx_abonospromtot_12m	decimal(38,6)		Promedio mensual de cantidad de abonos totales en los últimos 12 meses.	CORR-00
147	trx_q_abonos_ratio_1m_efectivo_total	rat_trx_abonosefectot_1m	decimal(38,6)		Ratio de cantida de abonos en efectivo respecto a la cantidad total de abonos, considerando ambos valores acumulados en el último mes.	MODELO(#14;2.79%)
148	trx_q_abonos_ratio_3m_efectivo_total	rat_trx_abonosefectot_3m	decimal(38,6)		Ratio de cantidad de abonos en efectivo respecto a la cantidad total de abonos, considerando ambos valores acumulados en los últimos 3 meses	MODELO(#11;3.80%)
149	trx_q_abonos_ratio_6m_efectivo_total	rat_trx_abonosefectot_6m	decimal(38,6)		Ratio de cantidad de abonos en efectivo respecto a la cantidad total de abonos, considerando ambos valores acumulados en los últimos 6 meses	CORR-00
150	trx_q_abonos_ratio_9m_efectivo_total	rat_trx_abonosefectot_9m	decimal(38,6)		Ratio de cantidad de abonos en efectivo respecto a la cantidad total de abonos, considerando ambos valores acumulados en los últimos 9 meses	CORR-02
151	trx_q_abonos_ratio_12m_efectivo_total	rat_trx_abonosefectot_12m	decimal(38,6)		Ratio de cantidad de abonos en efectivo respecto a la cantidad total de abonos, considerando ambos valores acumulados en los últimos 12 meses	CORR-00
152	trx_monto_abonos_1m_total	imp_trx_abonostot_1m	decimal(38,6)		Monto total abonado recibidoss en el último mes.	CORR-00
153	trx_monto_abonos_3m_total	imp_trx_abonostot_3m	decimal(38,6)		Monto total de abonos recibidos en los últimos 3 meses.	CORR-00
154	trx_monto_abonos_6m_total	imp_trx_abonostot_6m	decimal(38,6)		Monto total de abonos recibidos en los últimos 6 meses.	CORR-00
155	trx_monto_abonos_9m_total	imp_trx_abonostot_9m	decimal(38,6)		Monto total de abonos recibidos en los últimos 9 meses.	CORR-00
156	trx_monto_abonos_12m_total	imp_trx_abonostot_12m	decimal(38,6)		Monto total de abonos recibidos en los últimos 12 meses.	CORR-00
157	trx_monto_abonos_1m_efectivo	imp_trx_abonosefect_1m	decimal(38,6)		Monto total de abonos en efectivo en el último mes.	SIN-EVID
158	trx_monto_abonos_3m_efectivo	imp_trx_abonosefect_3m	decimal(38,6)		Monto total de abonos en efectivo en los últimos 3 meses.	SIN-EVID
159	trx_monto_abonos_6m_efectivo	imp_trx_abonosefect_6m	decimal(38,6)		Monto total de abonos en efectivo en los últimos 6 meses.	MODELO(#5;6.39%)
160	trx_monto_abonos_9m_efectivo	imp_trx_abonosefect_9m	decimal(38,6)		Monto total de abonos en efectivo en los últimos 9 meses.	CORR-00
161	trx_monto_abonos_12m_efectivo	imp_trx_abonosefect_12m	decimal(38,6)		Monto total de abonos en efectivo en los últimos 12 meses.	CORR-00
162	trx_monto_abonos_promedio_3m_total	avg_trx_abonostot_3m	decimal(38,6)		Promedio mensual de abonos (en monto) en los últimos 3 meses.	CORR-00
163	trx_monto_abonos_promedio_6m_total	avg_trx_abonostot_6m	decimal(38,6)		Promedio mensual de abonos (en monto) en los últimos 6 meses.	CORR-00
164	trx_monto_abonos_promedio_9m_total	avg_trx_abonostot_9m	decimal(38,6)		Promedio mensual de abonos (en monto) en los últimos 9 meses.	CORR-00
